Date,Region,Place,Trigger,Depth (ft) ,Width (ft) ,Vertical (ft) ,Elevation (ft),Fatalities,
Sun Dec 15 00:00:00 MST 2024,Salt Lake,Cardiff Peak,Snowboarder,1.3333333333333333,40.0,400.0,9800.0,0,
Tue Dec 17 00:00:00 MST 2024,Salt Lake,Scotts Peak,Skier,2.0,70.0,700.0,9800.0,0,
Sat Dec 28 00:00:00 MST 2024,Salt Lake,Kessler Peak,Unknown,1.0,25.0,null,8600.0,0,
Sat Dec 28 00:00:00 MST 2024,Salt Lake,Sunset Peak,Natural,null,600.0,400.0,10400.0,0,
Tue Dec 31 00:00:00 MST 2024,Salt Lake,Murdock Peak,Natural,1.5,null,80.0,8900.0,0,
Sat Jan 04 00:00:00 MST 2025,Salt Lake,Raymond Peak,Natural,2.0,300.0,600.0,9500.0,0,
Mon Feb 03 00:00:00 MST 2025,Salt Lake,Rainbow Peak,Snowboarder,0.6666666666666666,100.0,null,9600.0,0,
Mon Feb 10 00:00:00 MST 2025,Salt Lake,Lake Peak,Skier,2.5,300.0,null,10400.0,0,
Fri Feb 14 00:00:00 MST 2025,Salt Lake,Murdock Peak,Skier,1.0,150.0,150.0,9300.0,0,
Sat Feb 15 00:00:00 MST 2025,Salt Lake,Wilson Peak,Natural,null,400.0,null,9700.0,0,
Sun Feb 16 00:00:00 MST 2025,Salt Lake,Raymond Peak,Natural,3.0,1000.0,null,9900.0,0,
Fri Feb 21 00:00:00 MST 2025,Salt Lake,Raymond Peak,Skier,null,100.0,null,9800.0,0,
Sat Mar 08 00:00:00 MST 2025,Salt Lake,Murdock Peak,Skier,1.0,30.0,null,9200.0,0,
Sat Mar 15 00:00:00 MDT 2025,Salt Lake,Rainbow Peak,Snowboarder,1.0,20.0,250.0,9600.0,0,
Sat Mar 22 00:00:00 MDT 2025,Salt Lake,Millicent Peak,Skier,0.6666666666666666,50.0,null,10000.0,0,
Sun Mar 23 00:00:00 MDT 2025,Salt Lake,Dromedary Peak,Skier,1.5,150.0,250.0,10800.0,0,
Tue Apr 01 00:00:00 MDT 2025,Salt Lake,Lake Peak,Natural,null,null,null,10100.0,0,
